"id","count"
P1874,3290
P1260,3325
P5786,3393
P144,3466
P2721,3539
P1417,3745
P3912,3768
P159,3778
P1712,3780
P1160,3808
P4933,3856
P1811,3936
P910,4195
P4834,4400
P1680,4420
P437,4528
P462,4861
P1267,4913
P344,5020
P393,5030
P127,5288
P5454,5376
P98,5651
P154,5721
P131,5785
P527,6105
P676,6257
P6366,6412
P2206,6669
P4983,6737
P371,6930
P2507,7030
P1274,7236
P576,7609
P1191,7670
P5115,7797
P2364,8042
P2581,8070
P2013,8274
P840,8340
P3212,8396
P3417,8652
P1889,9099
P373,9108
P272,9398
P1844,9464
P2002,9776
P996,10116
P435,10529
P5327,10579
P5331,10600
P750,10741
P170,10861
P3302,11665
P6216,11846
P18,12321
P4665,12334
P5530,12380
P6179,12409
P1156,12663
P1562,12688
P957,12751
P275,12792
P2704,13607
P1258,13723
P1240,13961
P1250,14012
P1651,14130
P528,14170
P2699,14390
P4510,14952
P4835,15098
P86,15579
P2007,15674
P2529,16189
P58,16926
P1154,17481
P2047,17488
P2624,18171
P1144,18175
P1277,18811
P582,19716
P2638,21380
P161,21633
P3138,22148
P1058,22614
P1729,23517
P2603,23810
P17,24590
P212,25269
P5008,27103
P2437,29923
P3903,29939
P580,31132
P1055,31567
P57,32415
P648,33549
P4908,39382
P162,40797
P1113,42558
P1954,43962
P953,45690
P571,46438
P888,46940
P646,49858
P449,51757
P818,52181
P2880,56793
P859,57500
P724,58113
P5315,59934
P291,60338
P687,61033
P4327,63392
P236,63887
P1104,66178
P243,68445
P179,71689
P364,86266
P856,92720
P345,93073
P436,101939
P123,128491
P361,135863
P264,152788
P136,233975
P3181,245971
P175,257192
P156,270606
P155,272264
P495,460088
P407,1698230
P50,3243664
P921,4155927
P5875,4574167
P932,4605441
P2860,7330826
P356,16372832
P698,17763274
P433,17859372
P478,19854942
P304,19911441
P2093,20323764
P1433,20835484
P577,21143242
P1476,21259924
claims,22276187
P31,22276187
id,22276187
type,22276187
