"id","label","category"
"P2631","Turner Classic Movies film ID","identifier"
"P2636","Minkultury film ID","identifier"
"P2639","Filmportal ID","identifier"
"P2678","Russiancinema.ru film ID","identifier"
"P4277","Daum movie ID","identifier"
"P4282","LUMIERE film ID","identifier"
"P4513","Africultures movie ID","identifier"
"P4529","Douban film ID","identifier"
"P4606","National Film Board of Canada film ID","identifier"
"P4632","Bechdel Test Movie List ID","identifier"
"P4665","Cinemagia film ID","identifier"
"P4780","MYmovies movie ID","identifier"
"P2970","Kinopolis film ID","identifier"
"P3077","Cineplex film ID","identifier"
"P3107","LdiF ID","identifier"
"P3110","ISzDb film ID","identifier"
"P3128","CiNetMag film ID","identifier"
"P3129","cine.gr film ID","identifier"
"P4814","Inventories of American Painting and Sculpture control number","identifier"
"P4834","Deutsche Synchronkartei series ID","identifier"
"P4881","Maison d'écrivain ID","identifier"
"P4898","Chronicling America newspaper ID","identifier"
"P4905","KMSKA work PID","identifier"
"P4983","TMDb TV series ID","identifier"
"P5050","UMAC ID","identifier"
"P5091","HanCinema drama ID","identifier"
"P5210","National Gallery of Armenia work ID","identifier"
"P5223","Information Center for Israeli Art artwork ID","identifier"
"P3143","elFilm film ID","identifier"
"P3145","Sratim ID","identifier"
"P3194","INA video ID","identifier"
"P3203","Ciné-Ressources film ID","identifier"
"P2749","PRONOM software identifier","identifier"
"P2858","Killer List of Videogames ID","identifier"
"P2864","OpenCritic ID","identifier"
"P2880","NIOSHTIC-2 ID","identifier"
"P2961","BVPH ID","identifier"
"P3069","UN document symbol","identifier"
"P3089","Flags of the World ID","identifier"
"P3098","ClinicalTrials.gov Identifier","identifier"
"P3135","elCinema film ID","identifier"
"P3138","OFDb ID","identifier"
"P3139","SourehCinema film ID","identifier"
"P3141","EDb film ID","identifier"
"P4816","Lemon 64 identifier","identifier"
"P5116","LGDB game ID","identifier"
"P5117","LGDB emulator ID","identifier"
"P5118","LGDB tool ID","identifier"
"P5119","LGDB engine ID","identifier"
"P5315","BioStor work ID","identifier"
"P5385","IGN ID","identifier"
"P5646","AniDB anime ID","identifier"
"P5691","BND ID","identifier"
"P5711","Revues Littéraires ID","identifier"
"P5733","bilibili ID","identifier"
"P5128","ICAA film catalogue ID","identifier"
"P5311","Kino-teatr.ua film ID","identifier"
"P5318","César Award film ID","identifier"
"P5331","OCLC work ID","identifier"
"P5338","SilentEra.com film ID","identifier"
"P5384","Behind The Voice Actors film ID","identifier"
"P5571","NooSFere book ID","identifier"
"P5693","Fandango film ID","identifier"
"P5786","Moviepilot.de film ID","identifier"
"P5791","Cineuropa film ID","identifier"
"P5655","iTunes music video ID","identifier"
"P5915","Shazam track ID","identifier"
"P6079","Discogs track ID","identifier"
"P6080","Discogs composition ID","identifier"
"P6110","AllMusic release ID","identifier"
"P6111","MusicNotes product ID","identifier"
"P6122","MusicNotes song ID","identifier"
"P6217","Genius album ID","identifier"
"P6218","Genius song ID","identifier"
"Q59682731","Saavn Album ID","identifier"
"P539","Museofile","identifier"
"P1267","AlloCiné series ID","identifier"
"P1602","Art UK venue ID","identifier"
"P722","UIC station code","identifier"
"P954","IBNR ID","identifier"
"P1042","ZDB ID","identifier"
"P1055","NLM Unique ID","identifier"
"P5834","LHW hotel ID","identifier"
"P5867","Mathematical Reviews journal ID","identifier"
"P5890","Preferred Hotels & Resorts hotel ID","identifier"
"P5963","Elsevier journal ID","identifier"
"P5966","SAGE journal ID","identifier"
"P5983","Springer journal ID","identifier"
"P6006","Museum Universe Data File ID","identifier"
"P6008","Agoda hotel ID","identifier"
"P6143","BioOne journal ID","identifier"
"P6155","Sotheby's Museum Network ID","identifier"
"P6180","Dimensions Source ID","identifier"
"P6183","AJOL journal ID","identifier"
"P6189","Sabinet journal ID","identifier"
"P2666","Datahub page","identifier"
"P2683","Bekker Number","identifier"
"P2687","NDL JPNO","identifier"
"P2703","BFI National Archive work ID","identifier"
"P2735","Unz Review journal ID","identifier"
"P5265","Dordrechts Museum artwork ID","identifier"
"P5268","MNAV work ID","identifier"
"P5269","Web umenia work ID","identifier"
"P5327","fernsehserien.de ID","identifier"
"P5396","Online Books Page publication ID","identifier"
"P5407","MHK object ID","identifier"
"P5454","USNPL ID","identifier"
"P5499","Boijmans work ID","identifier"
"P5554","Courrier international source ID","identifier"
"P5603","Trove newspaper ID","identifier"
"P5763","Directorio de Museos y Colecciones de España ID","identifier"
"P5783","Cranach Digital Archive artwork ID","identifier"
"P5823","Belvedere object ID","identifier"
"P5829","Television Academy Foundation show ID","identifier"
"P3445","Cinema of Israel ID","identifier"
"P3495","FilmPolski.pl ID","identifier"
"P3593","AFI Catalog of Feature Films ID","identifier"
"P3673","film-documentaire.fr film ID","identifier"
"P3704","KMDb film ID","identifier"
"P3750","KMDb documentary ID","identifier"
"P3785","danskefilm film ID","identifier"
"P1058","ERA Journal ID","identifier"
"P1156","Scopus Source ID","identifier"
"P1160","ISO 4 abbreviation","identifier"
"P2733","Persée journal ID","identifier"
"P2761","Research Papers in Economics Series handle","identifier"
"P2815","ESR station code","identifier"
"P3104","Gares & Connexions ID","identifier"
"P3127","Latindex ID","identifier"
"P3131","Redalyc journal ID","identifier"
"P3181","OpenCitations bibliographic resource ID","identifier"
"P3209","Heritage Railway Station of Canada ID","identifier"
"P3112","DistroWatch ID","identifier"
"P3116","ISzDb dub ID","identifier"
"P3147","United States Reports ID","identifier"
"P5820","Film Indonesia ID","identifier"
"P5987","Indiancine.ma film ID","identifier"
"P5990","Movies Anywhere ID","identifier"
"P6127","Letterboxd film ID","identifier"
"P6133","Siamzone film ID","identifier"
"P6134","Thaifilm ID","identifier"
"P6145","Academy Awards Database film ID","identifier"
"P6151","ANICA ID","identifier"
"P6196","Badtaste ID","identifier"
"P6250","iTunes music movie ID","identifier"
"P6256","SinemaTürk film ID","identifier"
"P4603","Microsoft Store album ID","identifier"
"P4748","Line Music album ID","identifier"
"P4894","ACE work ID","identifier"
"P4932","Todotango.com work ID","identifier"
"P5144","Bugs! album ID","identifier"
"P5153","KKBOX album ID","identifier"
"P5229","Carnegie Hall work ID","identifier"
"P5235","Cité de la Musique-Philharmonie de Paris work ID","identifier"
"P5241","Songfacts song ID","identifier"
"P5262","Les Enfoirés song ID","identifier"
"P5302","B.R.A.H.M.S. work ID","identifier"
"P5358","Operone opera ID","identifier"
"P5504","RISM ID","identifier"
"P3231","Mediaarts-DB ID","identifier"
"P3343","legislation.gov.uk ID","identifier"
"P3414","Yle Areena ID","identifier"
"P3418","Google Play Store App ID","identifier"
"P3431","Publons Publication ID","identifier"
"P3442","Debian stable package","identifier"
"P3929","V&A art work ID","identifier"
"P3961","Unifrance film ID","identifier"
"P3991","Austrian Textbook ID","identifier"
"P3995","Filmweb.pl ID","identifier"
"P4021","danskefilm animated film ID","identifier"
"P4086","MyAnimeList anime ID","identifier"
"P4181","GujLit Book ID","identifier"
"P1161","Z39.5 abbreviation","identifier"
"P1230","JSTOR journal code","identifier"
"P1250","Danish Bibliometric Research Indicator (BFI) SNO/CNO","identifier"
"P1270","Norwegian Register journal ID","identifier"
"P1272","Norway Import Service and Registration Authority periodical code","identifier"
"P1277","JUFO ID","identifier"
"P3236","PhilPapers publication ID","identifier"
"P3434","ERIH PLUS ID","identifier"
"P3607","Booking.com hotel ID","identifier"
"P3898","Hotels.com hotel ID","identifier"
"P4327","BHL bibliography ID","identifier"
"P4569","BPH journal ID","identifier"
"P4616","UniProt journal ID","identifier"
"P4722","Érudit journal ID","identifier"
"P4730","Mir@bel journal ID","identifier"
"P4741","OpenEdition journal ID","identifier"
"P4754","Harvard botanical journal ID","identifier"
"P4755","UK railway station code","identifier"
"P3499","Gentoo package","identifier"
"P3528","Luding game ID","identifier"
"P3570","European Case Law id","identifier"
"P3589","GCD series ID","identifier"
"P3597","F-Droid package","identifier"
"P3675","Hans Christian Andersen Centre work ID","identifier"
"P3702","Catalogue of Illuminated Manuscripts ID","identifier"
"P3705","RITVA Program ID","identifier"
"P5883","Tourisme & Handicap ID","identifier"
"P5904","ASCE Historical Civil Engineering Landmark ID","identifier"
"P5931","bazakolejowa.pl railway line ID","identifier"
"P6017","CanalPlan AC place ID","identifier"
"P6082","NYC Building Identification Number (BIN)","identifier"
"P6113","Playbill venue ID","identifier"
"P6120","Argentinean NCAA Airport code","identifier"
"P3732","PhilPapers record","identifier"
"P2185","DLI ID","identifier"
"P2187","BiblioNet publication ID","identifier"
"P2209","SourceForge project","identifier"
"P2339","BoardGameGeek ID","identifier"
"P2409","CiNii article ID","identifier"
"P2411","Artsy gene","identifier"
"P5891","Bpk-ID","identifier"
"P5925","Moviepilot.de series ID","identifier"
"P6004","Brasiliana Iconográfica ID","identifier"
"P6005","Muck Rack journalist ID","identifier"
"P6007","Salons ID","identifier"
"P6020","d'Art d'Art ! ID","identifier"
"P6067","ARD Mediathek ID","identifier"
"P6136","Newseum newspaper front page ID","identifier"
"P6141","À nos grands hommes ID","identifier"
"P6152","National Portrait Gallery (United States) object ID","identifier"
"P6157","Google News publication ID","identifier"
"P6238","Monument aux morts ID","identifier"
"P6239","IEC commemorative monument of Catalonia ID","identifier"
"P6244","Volksbund ID","identifier"
"P3933","Cinema ID","identifier"
"P4356","Megalithic Portal ID","identifier"
"P4358","Dutch lost building register ID","identifier"
"P4423","Portuguese lighthouse ID","identifier"
"P4535","EUTA theatre ID","identifier"
"P4558","SNCZI-IPE dam ID","identifier"
"P4591","National Inventory of Canadian Military Memorials ID","identifier"
"P4641","Welsh Chapels ID","identifier"
"P4658","Coflein ID","identifier"
"P4694","Arquivo Arq ID","identifier"
"P4981","Kinoliste ID","identifier"
"P5010","Territographie ID","identifier"
"P5011","Prazdne Domy building ID","identifier"
"P5129","Stepwell Atlas ID","identifier"
"P5208","BAG building ID","identifier"
"P5535","Prison History ID","identifier"
"P5633","Amphi-Theatrum ID","identifier"
"P5634","Theatrum ID","identifier"
"P5652","Carthalia ID","identifier"
"P5746","Directorate General of Civil Aeronautics (Mexico) code","identifier"
"P5757","DAV hut ID","identifier"
"P5758","PZS hut ID","identifier"
"P5759","ÖAV hut ID","identifier"
"P5761","SAC ID","identifier"
"P5765","The Park Database ID","identifier"
"P5782","DBUnico MIBACT ID","identifier"
"P5809","Alternativa Teatral place ID","identifier"
"P5836","Relais & Châteaux ID","identifier"
"P1377","MTR station code","identifier"
"P1378","China railway TMIS station code","identifier"
"P1609","Dialnet journal","identifier"
"P2007","ZooBank publication ID","identifier"
"P2008","IPNI publication ID","identifier"
"P4803","Amtrak station code","identifier"
"P4904","Tropicos publication ID","identifier"
"P5105","Deutsche Bahn station category","identifier"
"P5115","Directory of Open Access Journals ID","identifier"
"P5559","MUSE journal ID","identifier"
"P5651","Expedia hotel ID","identifier"
"P5696","Indian Railways station code","identifier"
"P5734","Historic Hotels of America ID","identifier"
"P5735","Historic Hotels Worldwide ID","identifier"
"P5764","IMA museum ID","identifier"
"P5774","Historic Hotels of Europe ID","identifier"
"P6323","Centre Pompidou ID","identifier"
"P6366","Microsoft Academic ID","identifier"
